iter	Passed	Remaining
0	264	52702
1	493	48832
2	702	46161
3	845	41409
4	998	38946
5	1145	37036
6	1317	36324
7	1496	35918
8	2062	43769
9	2270	43145
10	2470	42440
11	2590	40591
12	2697	38808
13	2800	37202
14	2918	35992
15	3140	36115
16	3240	34886
17	3341	33781
18	3442	32798
19	3566	32095
20	3691	31467
21	3816	30882
22	3926	30220
23	4041	29634
24	4143	29003
25	4241	28383
26	4336	27784
27	4439	27269
28	4538	26760
29	4638	26285
30	4745	25869
31	4841	25417
32	4946	25031
33	5060	24707
34	5165	24351
35	5281	24060
36	5385	23725
37	5485	23383
38	5591	23081
39	5690	22763
40	5787	22444
41	5905	22217
42	6006	21929
43	6112	21671
44	6213	21403
45	6372	21332
46	6484	21109
47	6582	20845
48	6685	20601
49	6795	20387
50	6903	20168
51	7007	19945
52	7116	19738
53	7232	19553
54	7244	19097
55	7347	18893
56	7459	18714
57	7577	18550
58	7682	18360
59	7793	18184
60	7806	17787
61	7930	17650
62	8034	17472
63	8156	17331
64	8256	17147
65	8439	17134
66	8557	16987
67	8667	16825
68	8790	16690
69	8899	16527
70	8999	16350
71	9105	16187
72	9204	16014
73	9319	15868
74	9336	15560
75	9458	15432
76	9493	15165
77	9548	14934
78	9646	14774
79	9749	14624
80	9755	14332
81	9855	14182
82	9980	14069
83	10038	13862
84	10142	13721
85	10244	13579
86	10273	13343
87	10387	13220
88	10500	13096
89	10608	12965
90	10739	12863
91	10840	12725
92	10932	12578
93	11032	12440
94	11126	12297
95	11225	12160
96	11324	12025
97	11421	11887
98	11517	11750
99	11622	11622
100	11671	11440
101	11771	11309
102	11868	11176
103	11978	11057
104	12093	10941
105	12105	10734
106	12213	10615
107	12315	10490
108	12370	10327
109	12469	10201
110	12518	10037
111	12619	9915
112	12728	9799
113	12834	9681
114	13260	9801
115	13451	9740
116	13618	9661
117	13718	9533
118	13819	9406
119	13919	9279
120	13966	9118
121	14067	8994
122	14177	8875
123	14278	8751
124	14378	8627
125	14477	8502
126	14577	8379
127	14699	8268
128	14809	8151
129	14906	8026
130	15024	7913
131	15138	7798
132	15166	7640
133	15285	7528
134	15395	7412
135	15497	7293
136	15595	7171
137	15696	7051
138	15816	6941
139	15912	6819
140	16015	6701
141	16112	6581
142	16212	6462
143	16309	6342
144	16410	6224
145	16454	6085
146	16560	5970
147	16664	5855
148	16762	5737
149	16814	5604
150	16930	5493
151	17056	5386
152	17151	5268
153	17257	5154
154	17315	5026
155	17447	4921
156	17570	4812
157	17675	4698
158	17791	4587
159	17844	4461
160	17857	4325
161	17989	4219
162	18102	4109
163	18197	3994
164	18294	3880
165	18432	3775
166	18541	3663
167	18647	3551
168	18674	3425
169	18792	3316
170	18895	3204
171	18994	3092
172	19098	2980
173	19194	2868
174	19292	2756
175	19430	2649
176	19486	2532
177	19608	2423
178	19710	2312
179	19838	2204
180	19951	2094
181	20074	1985
182	20174	1874
183	20272	1762
184	20322	1647
185	20419	1536
186	20519	1426
187	20622	1316
188	20731	1206
189	20840	1096
190	20962	987
191	21070	877
192	21180	768
193	21294	658
194	21393	548
195	21501	438
196	21528	327
197	21626	218
198	21736	109
199	21934	0
